game,match,steam_id,name,on_team,slur,n-word,n-word (derogatory),politics,notes,,,,,,,,cs2,,,"moodstealer",,,,,
cs2,0,,"[!ERROR]",,,,,,,,,,,,,,,,,,,,,,
cs2,0,,"Зиклось",,,,,,,,,,,,,,,,,,,,,,
cs2,0,,"DynaCVO_1800",,,,,,,,,,,,,,,,,,,,,,
cs2,0,,"nyx",1,2,1,1,,,,,,,,,,,,,,,,,,
cs2,0,,"BOT69",,,,,,,,,,,,,,,,,,,,,,
cs2,0,,"Blueberry Pancake Sniper",,,,,,,,,,,,,,,,,,,,,,
cs2,0,,"-RockeT-",,,,,,,,,,,,,,,,,,,,,,
cs2,0,,"PUFIC",,,,,,,,,,,,,,,,,,,,,,
cs2,0,,"Terminator",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
cs2,,,"Krug",,,,,,,,,,,,,,,,,,,,,,
cs2,,,"Holy Duck",,,,,,,,,,,,,,,,,,,,,,
cs2,,,"Mikey Palmice",,,,,,,,,,,,,,,,,,,,,,
cs2,,,"Lloyd Christmas",,,,,,,,,,,,,,,,,,,,,,
cs2,,,"FireWolf_Games1TTV",,,,,,,,,,,,,,,,,,,,,,
cs2,,,"Lois Griffin",,,,,,,,,,,,,,,,,,,,,,
cs2,,,"MoodyMan788",,,,,,,,,,,,,,,,,,,,,,
cs2,,,"ВукМандушић",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
cs2,,,"Potato Odyssey",,,,,,,,,,,,,,,,,,,,,,
cs2,,,"Salmon",,,,,,,,,,,,,,,,,,,,,,
cs2,,,"xSAINTx",,,,,,,,,,,,,,,,,,,,,,
cs2,,,"Cold@Bee@Butter",,,,,,,,,,,,,,,,,,,,,,
cs2,,,"Nabi",,,,,,,,,,,,,,,,,,,,,,
cs2,,,"Island Boys",,,,,,,,,,,,,,,,,,,,,,
cs2,,,"𝓵𝓲𝓼𝓱𝔂",,,,,,,,,,,,,,,,,,,,,,
cs2,,,"eggwin1o5",,,,,,,,,,,,,,,,,,,,,,
cs2,,,"Nooid",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
cs2,,,"A Big Disappoint",,,,,,,,,,,,,,,,,,,,,,
cs2,,,"UnderLying89",,,,,,,,,,,,,,,,,,,,,,
cs2,,,"cheddi",,,,,,,,,,,,,,,,,,,,,,
cs2,,,"Rosin Master",1,1,1,1,,,,,,,,,,,,,,,,,,
cs2,,,"Logar Trihis",,,,,,,,,,,,,,,,,,,,,,
cs2,,,"icecream",,,,,,,,,,,,,,,,,,,,,,
cs2,,,"J",,,,,,,,,,,,,,,,,,,,,,
cs2,,,"M",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
